Opinion ID	State	Date
2723663	AR	2014-09-04
1039917	AR	2013-09-05
2674458	AR	2014-05-14
4110267	AR	2016-12-22
2674461	AR	2014-05-14
2762438	AR	2014-12-18
1039921	AR	2013-09-05
2785768	AR	2015-03-12
3159824	AR	2015-12-03
3134052	AR	2015-10-22
1041278	AR	2013-09-19
3008918	AR	2015-10-08
2736948	AR	2014-09-25
2774556	AR	2015-01-29
2745109	AR	2014-10-23
2782461	AR	2015-02-26
1039922	AR	2013-09-05
3134053	AR	2015-10-22
2732292	AR	2014-09-11
2772287	AR	2015-01-22
1039924	AR	2013-09-05
2739320	AR	2014-10-02
3211627	AR	2016-06-09
3171146	AR	2016-01-21
2759747	AR	2014-12-11
1042133	AR	2013-09-26
2819765	AR	2015-07-23
2741214	AR	2014-10-09
4103754	AR	2016-12-01
2759744	AR	2014-12-11
2745103	AR	2014-10-23
2764205	AR	2014-12-22
3159820	AR	2015-12-03
2669428	AR	2014-04-10
3208818	AR	2016-06-02
4103747	AR	2016-12-01
1043065	AR	2013-10-03
4017918	AR	2016-07-21
3150622	AR	2015-10-29
2679567	AR	2014-06-19
2679561	AR	2014-06-19
2814291	AR	2015-07-02
2650735	AR	2014-01-23
2650730	AR	2014-01-23
4036126	AR	2016-09-22
3186468	AR	2016-03-17
3192203	AR	2016-04-07
2671176	AR	2014-04-24
4103758	AR	2016-12-01
2652431	AR	2014-02-06
3176733	AR	2016-02-11
2736959	AR	2014-09-25
3152460	AR	2015-11-05
1042127	AR	2013-09-26
1086808	AR	2013-10-24
4095269	AR	2016-11-03
3178467	AR	2016-02-18
3152469	AR	2015-11-05
3167796	AR	2016-01-07
4093278	AR	2016-10-27
2686730	AR	2014-07-31
2677257	AR	2014-06-05
2679572	AR	2014-06-19
2672962	AR	2014-05-08
3178461	AR	2016-02-18
2649546	AR	2014-01-16
2723665	AR	2014-09-04
2650724	AR	2014-01-23
3207093	AR	2016-05-26
4032295	AR	2016-09-08
2676192	AR	2014-05-29
4105656	AR	2016-12-08
2787530	AR	2015-03-19
2649547	AR	2014-01-16
1043050	AR	2013-10-03
1085005	AR	2013-10-10
2677263	AR	2014-06-05
3152470	AR	2015-11-05
2656552	AR	2014-03-13
3216437	AR	2016-06-23
2799290	AR	2015-05-07
4107604	AR	2016-12-15
2739322	AR	2014-10-02
2764206	AR	2014-12-22
2782462	AR	2015-02-26
1042126	AR	2013-09-26
3159834	AR	2015-12-03
4093279	AR	2016-10-27
2737179	AR	2014-09-25
2655002	AR	2014-02-27
2643407	AR	2013-11-21
3182339	AR	2016-03-03
3211628	AR	2016-06-09
3178463	AR	2016-02-18
2715926	AR	2014-08-07
2674446	AR	2014-05-15
2779085	AR	2015-02-12
2792548	AR	2015-04-09
4091331	AR	2016-10-20
4036129	AR	2016-09-22
3216439	AR	2016-06-23
2671175	AR	2014-04-24
2736952	AR	2014-09-25
2745102	AR	2014-10-23
2655003	AR	2014-02-27
4105653	AR	2016-12-08
2772279	AR	2015-01-22
3169578	AR	2016-01-14
2753505	AR	2014-11-20
2663180	AR	2014-04-03
1041564	AR	2013-09-20
3161465	AR	2015-12-10
4091328	AR	2016-10-20
2782463	AR	2015-02-26
2641580	AR	2013-11-07
2715927	AR	2014-08-07
2794366	AR	2015-04-16
2748702	AR	2014-11-06
2802628	AR	2015-05-21
2746859	AR	2014-10-30
1085024	AR	2013-10-10
3006425	AR	2015-10-01
2663181	AR	2014-04-03
3211621	AR	2016-06-09
4107608	AR	2016-12-15
2669755	AR	2014-04-10
2746851	AR	2014-10-30
4091329	AR	2016-10-20
2641571	AR	2013-11-07
3184432	AR	2016-03-10
2743192	AR	2014-10-16
2675381	AR	2014-05-22
4103750	AR	2016-12-01
2657382	AR	2014-03-20
3182336	AR	2016-03-03
4107616	AR	2016-12-15
2736951	AR	2014-09-25
4097356	AR	2016-11-10
1085023	AR	2013-10-10
2650723	AR	2014-01-23
1042131	AR	2013-09-26
2772277	AR	2015-01-22
2819767	AR	2015-07-23
2680627	AR	2014-06-26
3196503	AR	2016-04-21
3184428	AR	2016-03-10
2809793	AR	2015-06-18
2792551	AR	2015-04-09
2805686	AR	2015-06-04
2809794	AR	2015-06-18
2799282	AR	2015-05-07
1041283	AR	2013-09-19
2670415	AR	2014-04-17
3182335	AR	2016-03-03
2644964	AR	2013-12-05
2784292	AR	2015-03-05
1042122	AR	2013-09-26
2672093	AR	2014-05-01
3184427	AR	2016-03-10
2782456	AR	2015-02-26
2679564	AR	2014-06-19
4099099	AR	2016-11-17
2663188	AR	2014-04-03
2800849	AR	2015-05-14
2672969	AR	2014-05-08
2759756	AR	2014-12-11
3194223	AR	2016-04-14
2651973	AR	2014-01-30
2804094	AR	2015-05-28
3207096	AR	2016-05-26
3006429	AR	2015-10-01
2680630	AR	2014-06-26
3167794	AR	2016-01-07
2794368	AR	2015-04-16
2772288	AR	2015-01-22
2784289	AR	2015-03-05
2805679	AR	2015-06-04
2657376	AR	2014-03-20
2748695	AR	2014-11-06
1042124	AR	2013-09-26
3174752	AR	2016-02-04
3178465	AR	2016-02-18
4093274	AR	2016-10-27
2802630	AR	2015-05-21
2642239	AR	2013-11-14
2663190	AR	2014-04-03
2686733	AR	2014-07-31
2796184	AR	2015-04-23
2759749	AR	2014-12-11
2650726	AR	2014-01-23
2794371	AR	2015-04-16
3173003	AR	2016-01-28
2680633	AR	2014-06-26
1085006	AR	2013-10-10
2746853	AR	2014-10-30
2777202	AR	2015-02-05
3156100	AR	2015-11-19
3134054	AR	2015-10-22
1085020	AR	2013-10-10
2674457	AR	2014-05-14
3176731	AR	2016-02-11
2772281	AR	2015-01-22
2772286	AR	2015-01-22
3006938	AR	2015-10-02
4103753	AR	2016-12-01
2653927	AR	2014-02-20
2770200	AR	2015-01-15
2787518	AR	2015-03-19
2809800	AR	2015-06-18
4105659	AR	2016-12-08
2791087	AR	2015-04-02
1085021	AR	2013-10-10
2784294	AR	2015-03-05
4103756	AR	2016-12-01
2620486	AR	2013-10-31
3196506	AR	2016-04-21
1086805	AR	2013-10-24
2672965	AR	2014-05-08
1042137	AR	2013-09-26
4107611	AR	2016-12-15
4017917	AR	2016-07-21
2653255	AR	2014-02-13
2805684	AR	2015-06-04
2657378	AR	2014-03-20
2676197	AR	2014-05-29
1039925	AR	2013-09-05
2653249	AR	2014-02-13
3208817	AR	2016-06-02
2675376	AR	2014-05-22
3216435	AR	2016-06-23
2723674	AR	2014-09-04
2780477	AR	2015-02-19
2653939	AR	2014-02-20
2779083	AR	2015-02-12
2748701	AR	2014-11-06
3204924	AR	2016-05-19
3161463	AR	2015-12-10
2657386	AR	2014-03-20
2748699	AR	2014-11-06
2674456	AR	2014-05-14
2782458	AR	2015-02-26
2620474	AR	2013-10-31
2777203	AR	2015-02-05
2746858	AR	2014-10-30
2645824	AR	2013-12-12
2656555	AR	2014-03-13
2650732	AR	2014-01-23
2669429	AR	2014-04-10
2651707	AR	2014-01-30
2802631	AR	2015-05-21
3174754	AR	2016-02-04
2814290	AR	2015-07-02
2643403	AR	2013-11-21
3159832	AR	2015-12-03
3133017	AR	2015-10-20
2912087	AR	2015-09-10
2770190	AR	2015-01-15
2676198	AR	2014-05-29
2679569	AR	2014-06-19
1041277	AR	2013-09-19
3134047	AR	2015-10-22
2800853	AR	2015-05-14
2686724	AR	2014-07-31
2736955	AR	2014-09-25
2732288	AR	2014-09-11
4093280	AR	2016-10-27
2674454	AR	2014-05-15
2669436	AR	2014-04-10
4033959	AR	2016-09-15
2669426	AR	2014-04-10
2792555	AR	2015-04-09
3184433	AR	2016-03-10
3186471	AR	2016-03-17
2656549	AR	2014-03-13
2993969	AR	2015-09-24
1043064	AR	2013-10-03
3174744	AR	2016-02-04
3207095	AR	2016-05-26
2650727	AR	2014-01-23
2650729	AR	2014-01-23
2794367	AR	2015-04-16
2796188	AR	2015-04-23
4099100	AR	2016-11-17
2655005	AR	2014-02-27
3006433	AR	2015-10-01
2680636	AR	2014-06-26
2656550	AR	2014-03-13
1042136	AR	2013-09-26
2674269	AR	2014-05-14
2686722	AR	2014-07-31
3200827	AR	2016-05-05
2679575	AR	2014-06-19
2762439	AR	2014-12-18
3008927	AR	2015-10-08
4017915	AR	2016-07-21
