HathiTrust ID	Author	Volume Title
mdp.39015009375331	Bova, Ben	City of darkness
mdp.39015010224510	Stapledon, Olaf	Star Maker.
mdp.39015010226085	Wyndham, John	Re-birth
mdp.39015010232422	Lafferty, R. A.	Strange doings
mdp.39015010296609	Capek, Karel	War with the newts
mdp.39015010299744	Herbert, Frank	Whipping star
mdp.39015010314923	Vance, Jack	The best of Jack Vance
mdp.39015010368176	Lem, Stanisław	Mortal engines
mdp.39015010379124	Compton, D. G.	Synthajoy
mdp.39015010479601	Wilhelm, Kate	Huysman's pets
mdp.39015010481029	Clarke, Arthur C.	Tales from the White Hart
mdp.39015010524562	Lem, Stanisław	Return from the stars
mdp.39015010537812	Silverberg, Robert	Thorns
mdp.39015010691577	Clarke, Arthur C.	The other side of the sky
mdp.39015010745563	Bradbury, Ray	I sing the body electric! : stories
mdp.39015010748435	Anthony, Piers	On a pale horse
mdp.39015010749433	Heinlein, Robert A.	The star beast.
mdp.39015010862301	Zelazny, Roger	The dream master.
mdp.39015010862855	Moorcock, Michael	The end of all songs
mdp.39015010863036	Moorcock, Michael	An alien heat
mdp.39015010912247	Silverberg, Robert	The book of skulls
mdp.39015010915620	Christopher, John	The death of grass.
mdp.39015010930090	Silverberg, Robert	The feast of St. Dionysus; five science fiction stories.
mdp.39015010933433	Asimov, Isaac	The alternate Asimovs
mdp.39015011016881	Panshin, Alexei	Rite of passage
mdp.39015011024562	Anderson, Poul	The trouble twisters
mdp.39015011054155	Bester, Alfred	The demolished man
mdp.39015011212951	Stapledon, Olaf	Odd John : a story between jest and e[a]rnest
mdp.39015011317164	Clarke, Arthur C.	Imperial Earth
mdp.39015011340414	Heinlein, Robert A.	Farnham's freehold
mdp.39015011355966	Moorcock, Michael	The land leviathan.
mdp.39015011358150	Anthony, Piers	Blue Adept
mdp.39015011534206	Spinrad, Norman	Bug Jack Barron
mdp.39015011542720	Silverberg, Robert	The masks of time
mdp.39015011556043	Harrison, Harry	The stainless steel rat's revenge
mdp.39015011586479	Zelazny, Roger	Bridge of ashes
mdp.39015011695874	Norton, Andre	The time traders
mdp.39015011726406	Norton, Andre	Operation time search
mdp.39015011802215	Dickson, Gordon R.	Home from the shore
mdp.39015011802256	Moorcock, Michael	The shores of death
mdp.39015011815134	Varley, John	Titan
mdp.39015011820761	Dickson, Gordon R.	Tactics of mistake
mdp.39015011820779	Dickson, Gordon R.	Dorsai!
mdp.39015011874131	Niven, Larry	All the myriad ways
mdp.39015011876854	Clarke, Arthur C.	The songs of distant earth.
mdp.39015011881094	Clarke, Arthur C.	The lion of Comarre & Against the fall of night
mdp.39015011886184	Van Vogt, A. E.	The universe maker
mdp.39015011886747	Anderson, Poul	Tau zero
mdp.39015011926196	Williamson, Jack	Three from the Legion
mdp.39015012064146	Aldiss, Brian	The eighty-minute hour; a space opera
mdp.39015012119213	Delany, Samuel R.	Tales of Neveryon
mdp.39015012177369	Haldeman, Joe	Worlds
mdp.39015012177377	Haldeman, Joe and Jack C Haldeman II	There is no darkness
mdp.39015012178250	Zelazny, Roger	This immortal
mdp.39015012198563	Dickson, Gordon R.	Necromancer
mdp.39015012203447	Dick, Philip K.	A maze of death
mdp.39015012204890	Anderson, Poul	Mirkheim
mdp.39015012204916	Bradbury, Ray	R is for rocket
mdp.39015012212620	Niven, Larry and Jerry Pournelle	The mote in God's eye
mdp.39015012296722	Bradbury, Ray	S is for space
mdp.39015012296730	Bradbury, Ray	The golden apples of the sun.
mdp.39015012296821	Bradbury, Ray	The machineries of joy : short stories
mdp.39015012309145	Moorcock, Michael	The winds of limbo
mdp.39015012428291	Bradbury, Ray	The stories of Ray Bradbury
mdp.39015012429828	Lessing, Doris	Documents relating to the sentimental agents in the Volyen Empire
mdp.39015012435775	Anderson, Poul	Trader to the stars
mdp.39015012435783	Anderson, Poul	Vault of the ages
mdp.39015012896208	Wells, H. G.	The island of Dr. Moreau
mdp.39015012910165	Pohl, Frederik	The wonder effect.
mdp.39015012917210	Malzberg, Barry N.	The sodom and gomorrah business
mdp.39015012974294	Asimov, Isaac	Fantastic voyage II : destination brain
mdp.39015012976992	Heinlein, Robert A.	Waldo and Magic, Inc.
mdp.39015012994136	Verne, Jules	For the flag
mdp.39015013000396	Aldiss, Brian	Brothers of the head
mdp.39015013002426	Zelazny, Roger	The isle of the dead.
mdp.39015013002491	Wyndham, John	The kraken wakes
mdp.39015013002517	Wyndham, John	Trouble with lichen
mdp.39015013004034	Wyndham, John	Stowaway to Mars
mdp.39015013234516	Crowley, John	Engine summer
mdp.39015013255701	Sturgeon, Theodore	The stars are the Styx
mdp.39015013260727	Martin, George R. R.	Dying of the light
mdp.39015013275519	Brunner, John	Quicksand.
mdp.39015013282846	Brunner, John	Entry to elsewhen
mdp.39015013285799	Brunner, John	Stand on Zanzibar
mdp.39015013291920	Anderson, Poul	The star fox
mdp.39015013291961	Anderson, Poul	The high crusade
mdp.39015013291979	Anderson, Poul	War of the wing-men/ Poul Anderson.
mdp.39015013336444	Shepard, Lucius	Green eyes
mdp.39015013395523	Vance, Jack	To live forever
mdp.39015013416261	Amis, Kingsley	The alteration
mdp.39015013433738	Clement, Hal	Mission of gravity
mdp.39015013527448	Dick, Philip K.	Solar lottery
mdp.39015013939874	Adams, Douglas	The restaurant at the end of the universe
mdp.39015013942332	McCaffrey, Anne	The Dragonriders of Pern
mdp.39015013946481	Moore, C. L. and Henry Kuttner	Earth's last citadel
mdp.39015013952323	Pohl, Frederik	The best of Frederik Pohl
mdp.39015013972214	Burroughs, William S.	The soft machine
mdp.39015013976405	Clarke, Arthur C.	The wind from the sun; stories of the space age
mdp.39015014136587	Pohl, Frederik and Jack Williamson	Undersea fleet
mdp.39015014136595	Pohl, Frederik	Drunkard's walk
mdp.39015014137635	Reynolds, Mack	The earth war
mdp.39015014137973	Leiber, Fritz	Gather, darkness!
mdp.39015014158185	Bradbury, Ray	The Toynbee convector
mdp.39015014166592	Capek, Karel	Krakatit
mdp.39015014366226	Heinlein, Robert A.	The puppet masters
mdp.39015014367190	Piper, H. Beam	Lord Kalvan of Otherwhen
mdp.39015014434172	Budrys, Algis	The falling torch
mdp.39015014434768	Aldiss, Brian	The malacia tapestry
mdp.39015014440815	McIntyre, Vonda N.	Fireflood and other stories
mdp.39015014447505	Wells, H. G.	The shape of things to come
mdp.39015014493129	Bova, Ben	Millennium : a novel about people and politics in the year 1999
mdp.39015014493137	Bova, Ben	The dueling machine
mdp.39015014493152	Bova, Ben	Colony
mdp.39015014503133	Bova, Ben	The weathermakers
mdp.39015014504024	Anderson, Poul	The avatar
mdp.39015014519063	Pohl, Frederik	A plague of pythons
mdp.39015014519071	Bester, Alfred	The dark side of the earth
mdp.39015014535853	Spinrad, Norman	A world between
mdp.39015014570108	Haldeman, Joe	Buying time
mdp.39015014574118	Delany, Samuel R.	The bridge of lost desire
mdp.39015014585601	Asimov, Isaac	Asimov's mysteries.
mdp.39015014688249	Sturgeon, Theodore	Sturgeon is alive and well
mdp.39015014689684	Clement, Hal	Needle
mdp.39015014695517	Pangborn, Edgar	Davy
mdp.39015014763737	Asimov, Isaac	Azazel
mdp.39015014854353	Sturgeon, Theodore	Beyond.
mdp.39015014863545	Simak, Clifford D.	The trouble with Tycho
mdp.39015014938602	Verne, Jules	A journey to the center of the earth
mdp.39015015203865	Piper, H. Beam	Space Viking
mdp.39015015344891	Simak, Clifford D.	All the traps of Earth : and other stories
mdp.39015015344909	Silverberg, Robert	To open the sky
mdp.39015015386355	Van Vogt, A. E.	Quest for the future.
mdp.39015015387551	Van Vogt, A. E.	The book of Ptath
mdp.39015015390787	Simak, Clifford D.	A choice of gods
mdp.39015015390795	Simak, Clifford D.	Best science fiction stories of Clifford D. Simak.
mdp.39015015394425	Martin, George R. R. and Lisa Tuttle	Windhaven
mdp.39015015394433	Van Vogt, A. E.	Computerworld
mdp.39015016415641	Wyndham, John	The infinite moment.
mdp.39015016423827	Farmer, Philip José	Tongues of the moon
mdp.39015016444443	Farmer, Philip José	The gate of time
mdp.39015016449434	Brunner, John	Out of my mind
mdp.39015016450150	Budrys, Algis	Who?
mdp.39015016450218	Brunner, John	The Atlantic abomination : man, meet your master!
mdp.39015016450226	Brunner, John	The long result
mdp.39015016450234	Brunner, John	The squares of the city
mdp.39015016450242	Brunner, John	Time-jump.
mdp.39015016450259	Brunner, John	Times without number
mdp.39015016450267	Brunner, John	Timescoop
mdp.39015016451737	Blish, James	A life for the stars.
mdp.39015016451745	Blish, James	Titan's daughter
mdp.39015016466255	Aldiss, Brian	Cryptozoic!
mdp.39015016466511	Aldiss, Brian	The dark light-years
mdp.39015016867882	Van Vogt, A. E.	The mind cage : a science fiction novel
mdp.39015016879648	Simak, Clifford D.	Enchanted pilgrimage
mdp.39015016889605	Silverberg, Robert	Beyond the safe zone : collected stories of Robert Silverberg.
mdp.39015016903075	Aldiss, Brian	Starswarm
mdp.39015016915616	Van Vogt, A. E.	The beast
mdp.39015016917729	Van Vogt, A. E.	Rogue ship,
mdp.39015016924485	Moorcock, Michael	The condition of muzak : a Jerry Cornelius novel
mdp.39015016945860	Wilson, Robert Charles	Gypsies
mdp.39015016953674	Murphy, Pat	The city, not long after
mdp.39015017656854	Brunner, John	The stone that never came down
mdp.39015017656862	Van Vogt, A. E.	The weapon shops of Isher
mdp.39015017656870	Van Vogt, A. E.	The weapon makers
mdp.39015018528243	Dickson, Gordon R.	Wolf and iron
mdp.39015018601743	Sturgeon, Theodore	A touch of strange
mdp.39015018620875	Simak, Clifford D.	Cemetery world
mdp.39015018624778	Clarke, Arthur C.	Expedition to Earth : eleven science-fiction stories
mdp.39015018825730	Wren, M. K.	A gift upon the shore
mdp.39015018858186	Bisson, Terry	Voyage to the Red Planet
mdp.39015019005373	Asimov, Isaac and Robert Silverburg	Nightfall
mdp.39015019045841	Smith, E. E.	Triplanetary
mdp.39015019059081	Farmer, Philip José	Riverworld : the great short fiction of Philip José Farmer.
mdp.39015019145898	Norton, Andre	Catseye
mdp.39015019147241	Smith, E. E.	Second stage lensman
mdp.39015019147258	Smith, E. E.	Gray Lensman
mdp.39015019159030	Lessing, Doris	The marriages between zones three, four, and five
mdp.39015019344996	Delany, Samuel R.	Neveryóna, or, The tale of signs and cities
mdp.39015019357808	Gerrold, David and Larry Niven	The flying sorcerers
mdp.39015019359846	Aldiss, Brian	Moreau's other island
mdp.39015019364952	Knight, Damon	The man in the tree
mdp.39015019395782	Bear, Greg	Blood music
mdp.39015019434276	Cherryh, C. J.	The pride of Chanur
mdp.39015019446023	Lem, Stanisław	Eden
mdp.39015019481624	May, Julian	The nonborn king ; The adversary
mdp.39015019554131	Ballard, J. G.	War fever
mdp.39015019595399	Benford, Gregory	Great sky river
mdp.39015019629305	Silverberg, Robert	Letters from Atlantis
mdp.39015019801821	Malzberg, Barry N.	Galaxies
mdp.39015019815037	Vinge, Vernor	The peace war
mdp.39015019851974	Van Scyoc, Sydney J.	Bluesong
mdp.39015019871691	Harrison, Harry	Winter in Eden
mdp.39015019934069	Williamson, Jack	The legion of space
mdp.39015019938433	Wells, H. G.	The invisible man. With an introduction
mdp.39015019978298	Merril, Judith	Survival ship, and other stories.
mdp.39015020142249	Delany, Samuel R.	The Einstein intersection
mdp.39015020677442	Gibson, William	Burning chrome
mdp.39015020680461	Clarke, Arthur C.	A fall of moondust.
mdp.39015020690858	Crichton, Michael	The Andromeda strain.
mdp.39015020691203	Asimov, Isaac	The complete robot
mdp.39015020695519	Farmer, Philip José	To your scattered bodies go
mdp.39015020695527	Farmer, Philip José	The fabulous riverboat
mdp.39015020697598	Dick, Philip K.	The unteleported man
mdp.39015020709617	Dick, Philip K.	The preserving machine.
mdp.39015020723915	McCaffrey, Anne	Dragonflight
mdp.39015020724129	McCaffrey, Anne	Dragonquest
mdp.39015020728666	Butler, Octavia E.	Kindred
mdp.39015020729649	Asimov, Isaac	The gods themselves.
mdp.39015020731991	Simak, Clifford D.	Cosmic engineers : an interplanetary novel
mdp.39015020741065	Dick, Philip K.	Our friends from Frolix 8.
mdp.39015020747013	Vonnegut, Kurt	Slapstick : or, Lonesome no more]
mdp.39015020749142	Matheson, Richard	Bid time return
mdp.39015020750835	Robinson, Kim Stanley	The wild shore
mdp.39015020750843	Smith, Cordwainer	You will never be the same
mdp.39015020770437	Aldiss, Brian	Helliconia winter
mdp.39015020770445	Aldiss, Brian	Helliconia spring
mdp.39015021474286	Brin, David	The postman
mdp.39015021570927	Asimov, Isaac	The winds of change and other stories
mdp.39015021855351	Lem, Stanisław	Fiasco
mdp.39015021862902	Van Scyoc, Sydney J.	Darkchild
mdp.39015021916583	Bova, Ben	The multiple man
mdp.39015022216793	Effinger, George Alec	Heroics
mdp.39015022220324	Sturgeon, Theodore	Starshine
mdp.39015022220357	Sturgeon, Theodore	Case and the dreamer
mdp.39015022223617	Moorcock, Michael	The warlord of the air : a scientific romance
mdp.39015022267952	Silverberg, Robert	The face of the waters
mdp.39015022283579	Pohl, Frederik	Narabedla Ltd.
mdp.39015022652468	Effinger, George Alec	What entropy means to me.
mdp.39015023544888	Gerrold, David	When Harlie was one
mdp.39015024076203	Wells, H. G.	In the days of the comet
